user,created_at,latitude,longitude,text
venuzdelmar,Mon Mar 13 01:04:59 +0000 2017,40.72924801,-73.99369981,'Part of my NYU Grad Musical Theatre Writing collaboration. Haaaaa so muuuuuch fun.... I could… https://t.co/UjBUX8IfU4'
kathryn_bowen,Mon Mar 13 01:00:18 +0000 2017,40.72988718,-73.99608036,'Fun fact: last year I applied and got accepted into the grad program at NYU. It would've been… https://t.co/Sh5KVnSfqA'
Sushisushinyc,Mon Mar 13 00:00:55 +0000 2017,40.7636642,-73.9824753,'Dinner delivered only @sushisushinyc 🍣🍣🔥 Call for Delivery Right Now!!! @ Columbia University https://t.co/FMJf88iLe7'
sleepy_maker,Sun Mar 12 23:50:04 +0000 2017,40.72961868,-73.99352448,'just finished first phase #led #cube #physicalcomputing #ITP @ ITP - NYU https://t.co/sv4eKp6PQp'
KarlFrance,Sun Mar 12 22:43:12 +0000 2017,,,'Congratulations Ladies @NYU_WGolf https://t.co/JnmZvl7s1z'
TheBGates,Sun Mar 12 21:41:40 +0000 2017,,,"'@FitFlyFellow I have several threads: nyc experiences, concerts, gym workouts, vinyl I've collected, Gamecocks and Columbia related things.'"
GrantHiura,Sun Mar 12 21:40:42 +0000 2017,40.7636642,-73.9824753,'Alma Mater Lily addressing her disciples. #nyc #columbia #basset @ Columbia University https://t.co/bZo3cKxca6'
jlquiroz,Sun Mar 12 21:17:53 +0000 2017,40.73651866,-73.99091894,'Photo booth fun #SpringFling #LatePost #NYU @ Union Square Ballroom https://t.co/8m3MRRzzXU'
NaiZeni,Sun Mar 12 21:07:50 +0000 2017,,,'Columbia is cracking under pressure.'
TheBillyWeber,Sun Mar 12 20:53:58 +0000 2017,,,'Columbia gonna loose on this stupid rule'
MithruV,Sun Mar 12 20:53:08 +0000 2017,40.72961868,-73.99352448,'Last one for now.. pictures of the floor at @itp_nyu @ ITP - NYU https://t.co/7J73YRQ4Cb'
glencocooooo_,Sun Mar 12 20:42:24 +0000 2017,,,"'Columbia vs Dominican Republic today, ready for this other W 🕺🏽'"
pfrusso,Sun Mar 12 20:40:32 +0000 2017,,,"'.@MetaPropNYC proud to be at Columbia University's CURE, targeting real estate tech https://t.co/qVIZt790ld via… https://t.co/P7H5NYJ052'"
YummyANA,Sun Mar 12 20:34:57 +0000 2017,,,'#wbc2017 it's not Columbia... Ughhh'
Hop___,Sun Mar 12 20:34:55 +0000 2017,,,'Stuck watching 🇪🇨 vs 🇩🇴.. Hope columbia wins this w| a walk off 🖕🏽'
kerrychaplin,Sun Mar 12 20:29:22 +0000 2017,,,'@jayrosen_nyu Do you still accept Shabbat meals from Fake Newsies? https://t.co/qhqPb7aZoG'
MithruV,Sun Mar 12 20:04:30 +0000 2017,40.72961868,-73.99352448,'More patterns from under the microscope.. LEDs to onion skin.. @ ITP - NYU https://t.co/ICaixNNkwQ'
weischoice,Sun Mar 12 19:42:26 +0000 2017,,,"'After 7 years of thinking about it, I finally made the impulsive decision to buy an NYU sweatshirt.'"
meeeeeeeredith,Sun Mar 12 19:30:30 +0000 2017,,,"'I love DC, but NYC is home. If you think it's the ""handsome &amp; unattainable jock"" of cities, you missed the point https://t.co/8VL9P857Me'"
MithruV,Sun Mar 12 19:21:04 +0000 2017,40.72961868,-73.99352448,'More patterns from Google Earth @ ITP - NYU https://t.co/LJ9BmH5dy6'
MithruV,Sun Mar 12 19:20:27 +0000 2017,40.72961868,-73.99352448,'Patterns from Google maps @ ITP - NYU https://t.co/ckhxXj2GDc'
turntvonnelit,Sun Mar 12 19:00:34 +0000 2017,40.7636642,-73.9824753,'#higherlearning #uptown #nyc @ Columbia University https://t.co/PY5sQFUNCJ'
JPStreetNYC,Sun Mar 12 18:33:14 +0000 2017,40.730957,-73.9936295,'#jpstreet #jpstreetnyc #nyu #nyustern #nyucampus #nyustudent #greenwichvillagenyc #nyceats… https://t.co/BnG8WmMyhw'
Sa_man_t_h_a,Sun Mar 12 18:25:04 +0000 2017,40.72946,-73.99357,'Just posted a photo @ NYU Tisch School of the Arts https://t.co/9ewJ2h67BX'
mbsthinks,Sun Mar 12 18:17:03 +0000 2017,,,'Hey @StephanieVBlank @BPothuri @fmusa_nyu - I want to hear all the latest and greatest from @SGO_org #SGOMtg #sgo2017 #tweetingthemeeting'
H_E_I_D_I_L_E_E,Sun Mar 12 18:08:54 +0000 2017,40.72988718,-73.99608036,'TBT #Regram bencopperwheat Thank you @H_E_I_D_I_L_E_E for coming to nyu today of share your work… https://t.co/ORwzADooYT'
